序号,新闻内容
129,"12月1日，格拉斯哥大学副校长Frank
Coton一行到访海南陵水黎安国际教育创新试验区，看望格拉斯哥海南学院学生，实地考察园区办学条件，了解学院师生学习生活、试验区未来发展规划等情况。Frank还面向试验区全体师生作题为“Vortex Dominated Flows”的学术讲座。"
130,12月1日，国际处、教师发展中心联合成都市人民政府外事办公室、成都市广播电视台开展“从蓉出行 领保相伴”领事保护讲座暨2023年教育部“平安留学”行前系列培训，邀请四川省十佳金牌宣讲员、成都广播电视台主持人武世杰开展领事保护“出国第一课”专题宣讲。
131,11月30日，信通学院2023级研究生张彦博获评全国大学生志愿服务西部2022-2023年度优秀志愿者。
132,11日30日，软件学院教师党支部联合开展“学思践悟新思想 实干担当建新功”主题党日活动，邀请学校理论宣讲团成员蒋杰教授作题为“百年变局下中国式现代化的探索”的专题报告。
133,11月30日，经管学院开展2023级新生教育之“工商管理专业培养路径及未来发展”讲座，邀请潘源老师、宋迪老师分别作题为“数字化浪潮下商科的‘虚’与‘实’”“在工科强校学习工商管理——以创新创业与战略管理方向为例”的报告。
134,11月29日，物理学院部分研究生党支部联合本科生党支部分别开展“党旗在我心 初心映征程”成都自然博物馆传统文化探索实践活动、“党旗在我心 科创领未来”主题党日活动。
135,11月30日，计算机（网安）学院视听觉研究生党支部与马克思主义学院硕士研究生第二党支部联合举办“一带一路，大道同行”主题党日活动，围绕习近平主席给古巴科学家裴德乐教授重要回信精神开展理论宣讲和知识竞赛。研究生宣讲团讲师杨冬丝作题为“领悟回信精神，强化使命担当”的宣讲。
136,11月29日，终身教育处组织召开了2023年终身教育工作交流会，校党委副书记靳敏出席会议并讲话，终身教育处作了题为“应变局、开新端、解难题，管办协同谋发展”的报告，外国语学院、继续教育学院、成都研究院就出国留学预备教育、职业教育培训、企事业培训作了交流发言，22家办学单位分管领导及业务主管参会。
137,11月29日，由国际处举办的“成电国际·第十五届国际教育交流月”开幕式及系列活动在清水河校区举行，副校长罗光春致开幕辞并与本届活动主宾校格拉斯哥大学高级副校长Frank Coton等共同开启交流月活动，近1000名师生参加活动。开幕式后，Frank Coton在成电讲坛作了题为“高等教育国际化”的演讲，并举行了国际留学生文化节活动。交流月期间还将有系列讲座、技能培训等20余项活动。
138,11月29日，计算机（网安）学院召开本科生自主设计个人专业培养方案修读计划审定专家委员会会议，专家委员会对曾晨瑞、王振波两位同学提交的修读计划进行了深入研讨。
139,11月29日，经管学院开展MBA招生与品牌发展研讨会，与会人员围绕学院MBA教育特色化、国际化和品牌化发展新阶段面临的问题和挑战、MBA教学质量、招生、学生活动和学位论文相互支撑等进行了深入交流。
140,11月29日，外国语学院2023级少数民族预科生到四川博物院开展“探寻中华文脉，坚定文化自信——铸牢中华民族共同体意识”实践教育活动，传承中华优秀传统文化，进一步增强文化自信。
141,11月29日，党委学工部学生资助管理中心举行“第五期成电思源马克巴-启梦留学计划”新加坡南洋理工大学研学活动评选面试会，30名学生围绕学习生活情况、未来发展规划等作分享，我校87级校友、学校马克巴励学基金设立者程新哲先生，学生处、教育发展基金会相关负责老师参加活动。
142,11月29日，电子科技大学-哈利法科技大学2024年未来能源领袖计划学生团顺利抵达哈利法科技大学，同学们将围绕未来能源发展和领导力问题等接受第一阶段的导入培养，并将受邀参加联合国COP28峰会。
143,11月28日-29日，电子学院、体育部、继续教育学院分别召开教职工代表大会暨工会会员代表大会换届选举会议，选举产生了学院新一届工会委员会委员和新一届教代会执行委员会委员，以及出席学校第九届教职工代表大会暨第十四届工会会员代表大会的代表。
144,11月28日，信通学院组织召开国家自然科学基金青年基金经验交流会，邀请胡少华、袁野两位博士后分享申报经验。
145,11月28日，电子科技大学中山学院到信通学院、电子学院调研，围绕2+2班级学生课程管理、学生就业及升学等进行了深入交流。
146,11月28日，自动化学院邀请保卫处、利民消防老师开展2023年下半年消防及实验室安全系列讲座及灭火实操演练活动。学院各年级本科生、研究生代表，各实验室安全管理员、新进教师等参加演练。
147,11月28日，计算机（网安）学院邀请合作派出所刁坤警官为2023级学生作校园安全暨防电信诈骗讲座。
148,11月28日，数学学院召开班主任沙龙，邀请魏朝祯研究员以“应用数学的‘新时代’——浅谈数学与学科交叉”为题作分享。
149,11月28日，生命学院、公管学院分别举行2023年本科生优秀班集体创建答辩会，候选班级围绕学风建设、党团思想建设、组织建设、综合发展等多方面进行了风采展示。
150,11月28日，经管学院经济学与金融学系党支部与四川省工业和信息化研究院第三党支部开展“党建引领推动产融结合，支部共建服务产业发展”主题党日活动，分别介绍了各自党建和业务工作开展情况，分享工作经验及特色亮点。全体党员围绕推动党支部建设、推动产融结合等进行了深入交流。
151,11月28日，格拉斯哥学院举行海外名校招生官面对面活动，邀请代尔夫特理工大学电子工程学院Francesco Fioranelli副教授围绕代尔夫特理工大学硕士项目申请政策、录取要求以及课程设置等作宣讲。
152,11月28日，集电学院开展“访企拓岗”活动，学院党委副书记于淼一行走访了石家庄市光谷科技园鹿泉创新中心、河北晶禾电子技术股份有限公司、河北东森电子科技有限公司、河北新华北集成电路有限公司，并与鹿泉区相关领导、相关企业负责人就人才培养、实习实训、就业创业等进行了深入交流。
153,11月28日，2023年全国青少年高校科学营四川分营总结研讨会在清水河校区举行，总结2023年科学营工作，安排部署2024年科学营工作，表彰优秀组织单位、优秀组织工作者和优秀志愿者。四川省青少年科技中心副主任周莉、学校党委研工部部长徐岩分别讲话，中国科学院水利部成都山地所、中国科学院成都生物所、省市州科协项目分管领导出席会议。
154,11月28日，党委研工部组织开展研究生党务工作培训，邀请党委组织部赵立老师就支部工作定位、如何做好支部工作等面向全体研究生党支部书记、负责研究生党务工作的辅导员开展培训。
155,11月28日，国际教育学院举办留学生国情教育系列活动“感知中国：走进中国电子发展”第10场活动。组织留学生实地参观四川省郫县豆瓣股份有限公司，公司董事长徐良作题为“本土传统行业的数字化变革和国际化经验”的分享，人力资源总监苗傲寒分享求职经验。
